"data","R0","LB","UB"
2020-03-19,0,0,1.988
2020-03-20,0,0,0.257
2020-03-21,0,0,1.318
2020-03-22,0.701,0.001,3.896
2020-03-23,0.266,0,2.132
2020-03-24,0.115,0,1.374
2020-03-25,1.33,0.329,3.134
2020-03-26,1.118,0.306,2.491
2020-03-27,0.819,0.193,1.865
2020-03-28,0.639,0.133,1.486
2020-03-29,0.522,0.098,1.238
2020-03-30,0.443,0.077,1.067
2020-03-31,0.655,0.227,1.264
2020-04-01,0.696,0.284,1.257
2020-04-02,0.923,0.502,1.466
2020-04-03,0.995,0.596,1.499
2020-04-04,1.113,0.731,1.586
2020-04-05,1.297,0.928,1.751
2020-04-06,1.179,0.846,1.58
2020-04-07,1.086,0.782,1.448
2020-04-08,1.183,0.893,1.525
2020-04-09,1.213,0.94,1.532
2020-04-10,1.168,0.915,1.461
2020-04-11,1.162,0.924,1.435
2020-04-12,1.155,0.932,1.41
2020-04-13,1.097,0.887,1.333
2020-04-14,1.073,0.875,1.295
2020-04-15,1.054,0.866,1.263
2020-04-16,1.06,0.881,1.258
2020-04-17,1.124,0.953,1.314
2020-04-18,1.171,1.007,1.353
2020-04-19,1.318,1.158,1.497
2020-04-20,1.438,1.282,1.616
2020-04-21,1.431,1.283,1.597
2020-04-22,1.584,1.436,1.752
2020-04-23,1.507,1.372,1.658
2020-04-24,1.553,1.422,1.699
2020-04-25,1.538,1.416,1.674
2020-04-26,1.516,1.401,1.642
2020-04-27,1.553,1.443,1.675
2020-04-28,1.638,1.529,1.759
2020-04-29,1.81,1.697,1.936
2020-04-30,1.696,1.596,1.805
2020-05-01,2.093,1.974,2.223
2020-05-02,2.064,1.956,2.182
2020-05-03,2.063,1.963,2.171
2020-05-04,2.116,2.021,2.219
2020-05-05,1.993,1.911,2.082
2020-05-06,2.002,1.925,2.085
2020-05-07,1.959,1.889,2.033
2020-05-08,2.023,1.955,2.095
2020-05-09,2.049,1.985,2.117
2020-05-10,1.991,1.933,2.051
2020-05-11,1.953,1.901,2.008
2020-05-12,1.83,1.785,1.877
2020-05-13,1.828,1.786,1.872
2020-05-14,1.816,1.777,1.857
2020-05-15,1.792,1.756,1.83
2020-05-16,1.812,1.777,1.847
2020-05-17,1.783,1.751,1.816
2020-05-18,1.738,1.709,1.768
2020-05-19,1.7,1.673,1.727
2020-05-20,1.7,1.675,1.726
2020-05-21,1.676,1.652,1.7
2020-05-22,1.675,1.653,1.697
2020-05-23,1.628,1.607,1.648
2020-05-24,1.59,1.571,1.609
2020-05-25,1.553,1.535,1.57
2020-05-26,1.515,1.499,1.531
2020-05-27,1.497,1.482,1.512
2020-05-28,1.469,1.455,1.484
2020-05-29,1.451,1.437,1.464
2020-05-30,1.438,1.426,1.451
2020-05-31,1.428,1.416,1.441
2020-06-01,1.408,1.397,1.419
2020-06-02,1.392,1.381,1.403
2020-06-03,1.382,1.372,1.393
2020-06-04,1.379,1.369,1.389
2020-06-05,1.363,1.353,1.372
2020-06-06,1.356,1.347,1.366
2020-06-07,1.351,1.342,1.359
2020-06-08,1.341,1.332,1.349
2020-06-09,1.337,1.328,1.345
2020-06-10,1.33,1.322,1.338
2020-06-11,1.327,1.32,1.335
2020-06-12,1.322,1.315,1.329
2020-06-13,1.317,1.31,1.325
2020-06-14,1.341,1.334,1.348
2020-06-15,1.352,1.345,1.359
2020-06-16,1.377,1.37,1.383
2020-06-17,1.367,1.361,1.374
2020-06-18,1.355,1.349,1.361
2020-06-19,1.344,1.338,1.35
2020-06-20,1.332,1.326,1.338
2020-06-21,1.325,1.319,1.33
2020-06-22,1.315,1.31,1.32
2020-06-23,1.303,1.298,1.308
2020-06-24,1.294,1.29,1.299
2020-06-25,1.285,1.281,1.29
2020-06-26,1.281,1.276,1.286
2020-06-27,1.278,1.274,1.283
2020-06-28,1.284,1.279,1.288
2020-06-29,1.283,1.279,1.288
2020-06-30,1.273,1.269,1.277
2020-07-01,1.266,1.262,1.269
2020-07-02,1.266,1.262,1.27
2020-07-03,1.252,1.248,1.255
2020-07-04,1.257,1.253,1.26
2020-07-05,1.26,1.257,1.264
2020-07-06,1.251,1.248,1.255
2020-07-07,1.243,1.24,1.247
2020-07-08,1.24,1.237,1.243
2020-07-09,1.236,1.233,1.239
2020-07-10,1.232,1.229,1.235
2020-07-11,1.232,1.229,1.235
2020-07-12,1.232,1.229,1.235
2020-07-13,1.233,1.23,1.236
2020-07-14,1.226,1.223,1.229
2020-07-15,1.222,1.22,1.225
2020-07-16,1.219,1.216,1.221
2020-07-17,1.216,1.213,1.218
