"data","R0","LB","UB"
2020-03-01,5.104,0,548.628
2020-03-02,1,0,63.502
2020-03-03,0.254,0,23.41
2020-03-04,0.072,0,12.61
2020-03-05,2.477,0.002,19.471
2020-03-06,6.612,1.527,27.156
2020-03-07,7.197,2.653,20.358
2020-03-08,5.305,2.398,11.819
2020-03-09,4.156,2.147,7.983
2020-03-10,2.76,1.47,4.944
2020-03-11,2.585,1.506,4.293
2020-03-12,3.402,2.265,5.129
2020-03-13,3.947,2.843,5.54
2020-03-14,2.842,2.115,3.828
2020-03-15,3.162,2.47,4.073
2020-03-16,2.467,1.967,3.099
2020-03-17,4.506,3.759,5.436
2020-03-18,3.409,2.926,3.988
2020-03-19,3.706,3.253,4.237
2020-03-20,3.28,2.934,3.677
2020-03-21,3.421,3.107,3.776
2020-03-22,2.689,2.472,2.929
2020-03-23,3.286,3.051,3.543
2020-03-24,2.997,2.81,3.199
2020-03-25,2.627,2.483,2.783
2020-03-26,2.345,2.229,2.469
2020-03-27,2.37,2.264,2.483
2020-03-28,2.309,2.215,2.408
2020-03-29,2.244,2.16,2.331
2020-03-30,2.039,1.97,2.111
2020-03-31,1.904,1.845,1.967
2020-04-01,2.317,2.249,2.386
2020-04-02,2.416,2.352,2.483
2020-04-03,2.367,2.311,2.426
2020-04-04,2.3,2.25,2.352
2020-04-05,2.182,2.139,2.226
2020-04-06,2.009,1.973,2.046
2020-04-07,1.9,1.869,1.933
2020-04-08,1.925,1.896,1.956
2020-04-09,1.96,1.932,1.989
2020-04-10,1.926,1.9,1.952
2020-04-11,1.881,1.857,1.905
2020-04-12,1.775,1.755,1.796
2020-04-13,1.704,1.686,1.723
2020-04-14,1.627,1.61,1.643
2020-04-15,1.591,1.575,1.606
2020-04-16,1.648,1.633,1.663
2020-04-17,1.605,1.592,1.619
2020-04-18,1.613,1.6,1.627
2020-04-19,1.601,1.588,1.613
2020-04-20,1.552,1.54,1.563
2020-04-21,1.507,1.496,1.517
2020-04-22,1.489,1.479,1.499
2020-04-23,1.461,1.451,1.47
2020-04-24,1.446,1.437,1.455
2020-04-25,1.44,1.432,1.449
2020-04-26,1.467,1.459,1.475
2020-04-27,1.443,1.435,1.451
2020-04-28,1.428,1.421,1.436
2020-04-29,1.448,1.441,1.455
2020-04-30,1.455,1.448,1.462
2020-05-01,1.466,1.46,1.473
2020-05-02,1.456,1.45,1.462
2020-05-03,1.43,1.424,1.436
2020-05-04,1.403,1.397,1.408
2020-05-05,1.375,1.37,1.381
2020-05-06,1.373,1.368,1.378
2020-05-07,1.395,1.39,1.4
2020-05-08,1.39,1.385,1.395
2020-05-09,1.381,1.377,1.386
2020-05-10,1.38,1.376,1.385
2020-05-11,1.362,1.357,1.366
2020-05-12,1.341,1.337,1.345
2020-05-13,1.331,1.327,1.335
2020-05-14,1.337,1.333,1.341
2020-05-15,1.339,1.336,1.343
2020-05-16,1.347,1.343,1.35
2020-05-17,1.342,1.339,1.346
2020-05-18,1.326,1.323,1.329
2020-05-19,1.308,1.305,1.311
2020-05-20,1.306,1.303,1.309
2020-05-21,1.308,1.305,1.311
2020-05-22,1.309,1.307,1.312
2020-05-23,1.306,1.303,1.308
2020-05-24,1.304,1.301,1.307
2020-05-25,1.292,1.29,1.295
2020-05-26,1.28,1.278,1.283
2020-05-27,1.273,1.271,1.276
2020-05-28,1.271,1.269,1.273
2020-05-29,1.28,1.277,1.282
2020-05-30,1.284,1.281,1.286
2020-05-31,1.286,1.284,1.288
2020-06-01,1.277,1.275,1.279
2020-06-02,1.266,1.264,1.268
2020-06-03,1.272,1.27,1.274
2020-06-04,1.271,1.269,1.273
2020-06-05,1.271,1.269,1.273
2020-06-06,1.269,1.268,1.271
2020-06-07,1.269,1.267,1.27
2020-06-08,1.26,1.258,1.261
2020-06-09,1.249,1.247,1.25
2020-06-10,1.247,1.246,1.249
2020-06-11,1.247,1.245,1.248
2020-06-12,1.246,1.245,1.248
2020-06-13,1.243,1.242,1.245
2020-06-14,1.24,1.238,1.241
2020-06-15,1.237,1.235,1.238
2020-06-16,1.23,1.229,1.231
2020-06-17,1.233,1.231,1.234
2020-06-18,1.223,1.222,1.224
2020-06-19,1.213,1.212,1.215
2020-06-20,1.23,1.229,1.232
2020-06-21,1.225,1.223,1.226
2020-06-22,1.218,1.217,1.219
2020-06-23,1.211,1.21,1.212
2020-06-24,1.211,1.209,1.212
2020-06-25,1.212,1.211,1.213
2020-06-26,1.213,1.212,1.214
2020-06-27,1.214,1.213,1.215
2020-06-28,1.211,1.21,1.212
2020-06-29,1.208,1.207,1.209
2020-06-30,1.202,1.201,1.203
2020-07-01,1.198,1.198,1.199
2020-07-02,1.197,1.197,1.198
2020-07-03,1.199,1.199,1.2
2020-07-04,1.198,1.197,1.199
2020-07-05,1.191,1.19,1.192
2020-07-06,1.189,1.188,1.189
2020-07-07,1.183,1.182,1.184
2020-07-08,1.182,1.182,1.183
2020-07-09,1.181,1.18,1.182
2020-07-10,1.179,1.179,1.18
2020-07-11,1.178,1.178,1.179
2020-07-12,1.176,1.176,1.177
2020-07-13,1.172,1.172,1.173
2020-07-14,1.167,1.166,1.168
2020-07-15,1.168,1.167,1.168
2020-07-16,1.165,1.164,1.166
2020-07-17,1.164,1.163,1.164
2020-07-18,1.16,1.16,1.161
2020-07-19,1.157,1.156,1.157
2020-07-20,1.152,1.152,1.153
2020-07-21,1.147,1.147,1.148
2020-07-22,1.145,1.144,1.146
2020-07-23,1.148,1.147,1.148
2020-07-24,1.148,1.148,1.149
2020-07-25,1.148,1.148,1.149
2020-07-26,1.15,1.149,1.151
2020-07-27,1.147,1.146,1.147
2020-07-28,1.143,1.142,1.143
2020-07-29,1.143,1.143,1.144
2020-07-30,1.144,1.143,1.144
2020-07-31,1.144,1.144,1.145
2020-08-01,1.144,1.144,1.145
2020-08-02,1.143,1.142,1.143
2020-08-03,1.14,1.14,1.141
2020-08-04,1.136,1.135,1.136
2020-08-05,1.137,1.136,1.137
2020-08-06,1.135,1.135,1.136
2020-08-07,1.135,1.135,1.135
2020-08-08,1.134,1.133,1.134
2020-08-09,1.133,1.133,1.134
2020-08-10,1.131,1.13,1.131
2020-08-11,1.127,1.126,1.127
2020-08-12,1.126,1.125,1.126
2020-08-13,1.126,1.126,1.127
2020-08-14,1.127,1.127,1.128
2020-08-15,1.127,1.126,1.127
2020-08-16,1.126,1.125,1.126
2020-08-17,1.122,1.122,1.122
2020-08-18,1.119,1.119,1.119
2020-08-19,1.118,1.117,1.118
2020-08-20,1.116,1.116,1.117
2020-08-21,1.115,1.115,1.115
2020-08-22,1.113,1.113,1.113
2020-08-23,1.113,1.112,1.113
2020-08-24,1.11,1.11,1.111
2020-08-25,1.107,1.107,1.108
2020-08-26,1.106,1.106,1.107
2020-08-27,1.105,1.105,1.106
2020-08-28,1.104,1.104,1.104
2020-08-29,1.104,1.103,1.104
2020-08-30,1.102,1.101,1.102
2020-08-31,1.099,1.099,1.099
2020-09-01,1.096,1.096,1.097
2020-09-02,1.096,1.095,1.096
2020-09-03,1.095,1.095,1.096
2020-09-04,1.095,1.095,1.095
2020-09-05,1.093,1.093,1.094
2020-09-06,1.092,1.092,1.093
2020-09-07,1.09,1.09,1.091
2020-09-08,1.088,1.088,1.088
2020-09-09,1.086,1.086,1.086
2020-09-10,1.085,1.085,1.085
2020-09-11,1.084,1.084,1.084
2020-09-12,1.083,1.083,1.083
2020-09-13,1.082,1.082,1.082
2020-09-14,1.08,1.08,1.081
2020-09-15,1.078,1.078,1.079
2020-09-16,1.077,1.077,1.078
2020-09-17,1.077,1.076,1.077
2020-09-18,1.076,1.076,1.076
2020-09-19,1.075,1.075,1.075
