"data","R0","LB","UB"
2020-03-23,56.433,3.093,2530.493
2020-03-24,10.404,1.272,57.711
2020-03-25,2.847,0.107,12.537
2020-03-26,1.252,0.008,5.745
2020-03-27,1.246,0.046,4.53
2020-03-28,1.225,0.116,3.74
2020-03-29,0.835,0.053,2.629
2020-03-30,0.938,0.137,2.483
2020-03-31,1,0.231,2.336
2020-04-01,1.037,0.317,2.2
2020-04-02,0.862,0.249,1.826
2020-04-03,0.741,0.203,1.569
2020-04-04,0.829,0.301,1.595
2020-04-05,1.165,0.616,1.921
2020-04-06,1.151,0.646,1.829
2020-04-07,1.236,0.758,1.864
2020-04-08,1.118,0.687,1.671
2020-04-09,1.334,0.914,1.872
2020-04-10,1.219,0.839,1.694
2020-04-11,1.128,0.779,1.555
2020-04-12,1.171,0.842,1.572
2020-04-13,1.151,0.842,1.521
2020-04-14,1.085,0.797,1.425
2020-04-15,1.077,0.805,1.396
2020-04-16,1.112,0.854,1.414
2020-04-17,1.138,0.893,1.423
2020-04-18,1.123,0.891,1.391
2020-04-19,1.11,0.89,1.362
2020-04-20,1.099,0.889,1.337
2020-04-21,1.089,0.889,1.314
2020-04-22,1.08,0.89,1.294
2020-04-23,1.073,0.891,1.276
2020-04-24,1.177,1.002,1.375
2020-04-25,1.269,1.1,1.462
2020-04-26,1.349,1.184,1.537
2020-04-27,1.417,1.257,1.601
2020-04-28,1.496,1.339,1.676
2020-04-29,1.775,1.605,1.972
2020-04-30,1.827,1.662,2.016
2020-05-01,1.887,1.728,2.07
2020-05-02,1.912,1.761,2.083
2020-05-03,2.051,1.898,2.223
2020-05-04,1.971,1.835,2.122
2020-05-05,1.955,1.83,2.094
2020-05-06,1.965,1.847,2.094
2020-05-07,2.018,1.905,2.142
2020-05-08,2.029,1.923,2.144
2020-05-09,2.028,1.929,2.134
2020-05-10,2.072,1.978,2.174
2020-05-11,1.99,1.907,2.079
2020-05-12,1.946,1.871,2.026
2020-05-13,1.926,1.856,1.999
2020-05-14,1.889,1.825,1.955
2020-05-15,1.894,1.835,1.957
2020-05-16,1.845,1.791,1.902
2020-05-17,1.733,1.686,1.782
2020-05-18,1.773,1.727,1.82
2020-05-19,1.755,1.713,1.799
2020-05-20,1.739,1.7,1.78
2020-05-21,1.72,1.683,1.758
2020-05-22,1.721,1.686,1.757
2020-05-23,1.711,1.678,1.745
2020-05-24,1.629,1.6,1.659
2020-05-25,1.563,1.537,1.59
2020-05-26,1.573,1.548,1.599
2020-05-27,1.553,1.53,1.577
2020-05-28,1.5,1.479,1.522
2020-05-29,1.535,1.514,1.557
2020-05-30,1.543,1.523,1.564
2020-05-31,1.551,1.531,1.571
2020-06-01,1.527,1.509,1.546
2020-06-02,1.502,1.485,1.52
2020-06-03,1.475,1.459,1.491
2020-06-04,1.459,1.444,1.475
2020-06-05,1.421,1.407,1.435
2020-06-06,1.469,1.454,1.483
2020-06-07,1.442,1.429,1.456
2020-06-08,1.407,1.395,1.42
2020-06-09,1.409,1.397,1.421
2020-06-10,1.393,1.382,1.405
2020-06-11,1.384,1.373,1.395
2020-06-12,1.37,1.36,1.381
2020-06-13,1.356,1.346,1.366
2020-06-14,1.333,1.324,1.343
2020-06-15,1.32,1.312,1.33
2020-06-16,1.309,1.3,1.318
2020-06-17,1.303,1.294,1.311
2020-06-18,1.293,1.285,1.302
2020-06-19,1.284,1.276,1.292
2020-06-20,1.278,1.27,1.285
2020-06-21,1.267,1.26,1.275
2020-06-22,1.257,1.25,1.264
2020-06-23,1.253,1.247,1.26
2020-06-24,1.251,1.245,1.258
2020-06-25,1.249,1.243,1.255
2020-06-26,1.244,1.238,1.25
2020-06-27,1.24,1.234,1.246
2020-06-28,1.235,1.229,1.241
2020-06-29,1.226,1.221,1.232
2020-06-30,1.226,1.221,1.232
2020-07-01,1.227,1.222,1.233
2020-07-02,1.222,1.216,1.227
2020-07-03,1.217,1.212,1.223
2020-07-04,1.22,1.215,1.225
2020-07-05,1.213,1.209,1.218
2020-07-06,1.206,1.202,1.211
2020-07-07,1.204,1.2,1.209
2020-07-08,1.204,1.199,1.208
2020-07-09,1.202,1.198,1.207
2020-07-10,1.206,1.202,1.21
2020-07-11,1.204,1.2,1.208
2020-07-12,1.198,1.194,1.202
2020-07-13,1.192,1.188,1.196
2020-07-14,1.19,1.186,1.194
2020-07-15,1.186,1.183,1.19
2020-07-16,1.188,1.185,1.192
2020-07-17,1.184,1.181,1.188
2020-07-18,1.18,1.176,1.183
2020-07-19,1.18,1.177,1.184
2020-07-20,1.174,1.171,1.177
2020-07-21,1.173,1.169,1.176
2020-07-22,1.172,1.169,1.175
2020-07-23,1.172,1.169,1.175
2020-07-24,1.171,1.168,1.174
2020-07-25,1.176,1.172,1.179
2020-07-26,1.178,1.175,1.181
2020-07-27,1.174,1.171,1.177
2020-07-28,1.175,1.172,1.178
2020-07-29,1.175,1.172,1.177
